date,valid
2016-12-21,9.16966
2016-12-22,7.72723
2016-12-23,9.41896
2016-12-24,11.6062
2016-12-25,
2016-12-26,8.12288
2016-12-27,16.8012
2016-12-28,10.7319
2016-12-29,16.2673
2016-12-30,15.5054
2016-12-31,11.4103
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,15.276
2017-01-06,13.0279
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,11.3948
2017-01-13,
2017-01-14,
2017-01-15,18.7183
2017-01-16,
2017-01-17,16.5272
2017-01-18,17.6636
2017-01-19,18.9181
2017-01-20,12.904
2017-01-21,40.5577
2017-01-22,70.9807
2017-01-23,80.9495
2017-01-24,17.9122
2017-01-25,
2017-01-26,21.2863
2017-01-27,24.4118
2017-01-28,51.1541
2017-01-29,60.4562
2017-01-30,43.0712
2017-01-31,29.3244
2017-02-01,33.8787
2017-02-02,22.0511
2017-02-03,12.6257
2017-02-04,9.34653
2017-02-05,9.48895
2017-02-06,10.379
2017-02-07,14.6076
2017-02-08,11.7719
2017-02-09,13.0147
2017-02-10,11.2234
2017-02-11,14.426
2017-02-12,14.0583
2017-02-13,11.0936
2017-02-14,16.1679
2017-02-15,15.2931
2017-02-16,10.9677
2017-02-17,11.0342
2017-02-18,8.52094
2017-02-19,10.0563
2017-02-20,9.70659
2017-02-21,9.51775
2017-02-22,6.12488
2017-02-23,8.63887
2017-02-24,12.7051
2017-02-25,11.1481
2017-02-26,8.81102
2017-02-27,9.40982
2017-02-28,8.91426
2017-03-01,8.00012
2017-03-02,5.96445
2017-03-03,7.46143
2017-03-04,9.70581
2017-03-05,8.76701
2017-03-06,7.03756
2017-03-07,13.1929
2017-03-08,21.5254
2017-03-09,8.69334
2017-03-10,9.98451
2017-03-11,7.05618
2017-03-12,8.51018
2017-03-13,10.592
2017-03-14,13.8137
2017-03-15,14.1051
2017-03-16,29.4305
2017-03-17,20.1443
2017-03-18,17.4122
2017-03-19,30.1742
2017-03-20,17.6893
2017-03-21,20.3127
2017-03-22,18.7919
2017-03-23,14.8075
2017-03-24,10.7222
2017-03-25,10.4379
2017-03-26,10.8191
2017-03-27,12.2423
